scenario,noise_level,accuracy,balanced_accuracy,precision,recall,f1,roc_auc,pr_auc,threshold,n_samples,mean_probability
gaussian_noise_0.00,0.0,0.9466666666666667,0.8333333333333333,1.0,0.6666666666666666,0.8,0.9722222222222223,0.905388471177945,0.5,75.0,0.15926362574100494
gaussian_noise_0.10,0.1,0.9066666666666666,0.8095238095238095,0.7272727272727273,0.6666666666666666,0.6956521739130435,0.9351851851851852,0.8280205905205906,0.5,75.0,0.17024144530296326
gaussian_noise_0.20,0.2,0.88,0.7261904761904762,0.6666666666666666,0.5,0.5714285714285715,0.8968253968253969,0.7309657934657935,0.5,75.0,0.14419013261795044
gaussian_noise_0.30,0.3,0.88,0.6924603174603174,0.7142857142857143,0.4166666666666667,0.5263157894736842,0.8650793650793651,0.6286195504039708,0.5,75.0,0.1136089563369751
gaussian_noise_0.40,0.4,0.88,0.6924603174603174,0.7142857142857143,0.4166666666666667,0.5263157894736842,0.8267195767195767,0.46729238525799927,0.5,75.0,0.08829835802316666
gaussian_noise_0.50,0.5,0.84,0.5674603174603174,0.5,0.16666666666666666,0.25,0.7883597883597884,0.43319867968507386,0.5,75.0,0.06691527366638184
missing_segments,,0.8933333333333333,0.6666666666666666,1.0,0.3333333333333333,0.5,0.9788359788359788,0.9131655381655381,0.5,75.0,0.08309730142354965
sensor_failure,,0.88,0.625,1.0,0.25,0.4,0.5099206349206349,0.4790401115401115,0.5,75.0,0.08894331753253937
