run_id,seed,interval,metric_name,value
1,42,3,compute_cost_bayesian,1.1
1,42,3,compute_cost_static,0.95
1,42,3,communication_distance_proposed,510.58467
1,42,3,communication_distance_bayesian,506.178958
1,42,3,communication_distance_static,504.593777
1,42,3,routing_load_proposed,0.545
1,42,3,routing_load_bayesian,0.4
1,42,3,routing_load_static,0.55
1,42,3,routing_distance_proposed,1029.612358
1,42,3,routing_distance_bayesian,477.114229
1,42,3,routing_distance_static,0.0
1,42,3,routing_noise_proposed,-0.04342
1,42,3,routing_noise_bayesian,-0.002969
1,42,3,routing_noise_static,0.0
1,42,4,accuracy_proposed,90.0
1,42,4,accuracy_bayesian,66.0
1,42,4,accuracy_static,86.0
1,42,4,precision_proposed,100.0
1,42,4,precision_bayesian,18.75
1,42,4,precision_static,0.0
1,42,4,recall_proposed,28.57
1,42,4,recall_bayesian,42.86
1,42,4,recall_static,0.0
1,42,4,f1_proposed,44.44
1,42,4,f1_bayesian,26.09
1,42,4,f1_static,0.0
1,42,4,tp_proposed,2.0
1,42,4,tp_bayesian,3.0
1,42,4,tp_static,0.0
1,42,4,tn_proposed,43.0
1,42,4,tn_bayesian,30.0
1,42,4,tn_static,43.0
1,42,4,fp_proposed,0.0
1,42,4,fp_bayesian,13.0
1,42,4,fp_static,0.0
1,42,4,fn_proposed,5.0
1,42,4,fn_bayesian,4.0
1,42,4,fn_static,7.0
1,42,4,pdr_proposed,89.8
1,42,4,pdr_bayesian,81.63
1,42,4,pdr_static,96.0
1,42,4,energy_proposed,89.13
1,42,4,energy_bayesian,89.23
1,42,4,energy_static,89.66
1,42,4,trust_mean_proposed,0.9489
1,42,4,trust_std_proposed,0.0757
1,42,4,trust_min_proposed,0.5959
1,42,4,trust_max_proposed,0.9901
1,42,4,blockchain_commit_latency_ms,1498.2285
1,42,4,blockchain_failed_commits,0.0
1,42,4,blockchain_commit_success_rate,1.0
1,42,4,packet_count_proposed,1.277957
1,42,4,packet_count_bayesian,1.240734
1,42,4,packet_count_static,1.282578
1,42,4,compute_cost_proposed,1.12
1,42,4,compute_cost_bayesian,1.1
1,42,4,compute_cost_static,0.95
1,42,4,communication_distance_proposed,468.882541
1,42,4,communication_distance_bayesian,529.496325
1,42,4,communication_distance_static,526.611957
1,42,4,routing_load_proposed,0.54
1,42,4,routing_load_bayesian,0.47
1,42,4,routing_load_static,0.55
1,42,4,routing_distance_proposed,742.624274
1,42,4,routing_distance_bayesian,540.362532
1,42,4,routing_distance_static,0.0
1,42,4,routing_noise_proposed,-0.057318
1,42,4,routing_noise_bayesian,0.042972
1,42,4,routing_noise_static,0.0
1,42,5,accuracy_proposed,88.0
1,42,5,accuracy_bayesian,56.0
1,42,5,accuracy_static,86.0
1,42,5,precision_proposed,100.0
1,42,5,precision_bayesian,17.39
1,42,5,precision_static,0.0
1,42,5,recall_proposed,14.29
1,42,5,recall_bayesian,57.14
1,42,5,recall_static,0.0
1,42,5,f1_proposed,25.0
1,42,5,f1_bayesian,26.67
1,42,5,f1_static,0.0
1,42,5,tp_proposed,1.0
1,42,5,tp_bayesian,4.0
1,42,5,tp_static,0.0
1,42,5,tn_proposed,43.0
1,42,5,tn_bayesian,24.0
1,42,5,tn_static,43.0
1,42,5,fp_proposed,0.0
1,42,5,fp_bayesian,19.0
1,42,5,fp_static,0.0
1,42,5,fn_proposed,6.0
1,42,5,fn_bayesian,3.0
1,42,5,fn_static,7.0
1,42,5,pdr_proposed,92.0
1,42,5,pdr_bayesian,84.0
1,42,5,pdr_static,93.88
1,42,5,energy_proposed,86.39
1,42,5,energy_bayesian,86.5
1,42,5,energy_static,87.07
1,42,5,trust_mean_proposed,0.9447
1,42,5,trust_std_proposed,0.0725
1,42,5,trust_min_proposed,0.5717
1,42,5,trust_max_proposed,0.987
1,42,5,blockchain_commit_latency_ms,1502.4426
1,42,5,blockchain_failed_commits,0.0
1,42,5,blockchain_commit_success_rate,1.0
1,42,5,packet_count_proposed,1.267913
1,42,5,packet_count_bayesian,1.272699
1,42,5,packet_count_static,1.246885
1,42,5,compute_cost_proposed,1.12
1,42,5,compute_cost_bayesian,1.1
1,42,5,compute_cost_static,0.95
1,42,5,communication_distance_proposed,510.952911
1,42,5,communication_distance_bayesian,501.418435
1,42,5,communication_distance_static,527.426329
1,42,5,routing_load_proposed,0.545
1,42,5,routing_load_bayesian,0.435
1,42,5,routing_load_static,0.55
1,42,5,routing_distance_proposed,855.351973
1,42,5,routing_distance_bayesian,459.529272
1,42,5,routing_distance_static,0.0
1,42,5,routing_noise_proposed,0.17909
1,42,5,routing_noise_bayesian,-0.024548
1,42,5,routing_noise_static,0.0
1,42,6,accuracy_proposed,88.0
1,42,6,accuracy_bayesian,58.0
1,42,6,accuracy_static,86.0
1,42,6,precision_proposed,100.0
1,42,6,precision_bayesian,20.83
1,42,6,precision_static,0.0
1,42,6,recall_proposed,14.29
1,42,6,recall_bayesian,71.43
1,42,6,recall_static,0.0
1,42,6,f1_proposed,25.0
1,42,6,f1_bayesian,32.26
1,42,6,f1_static,0.0
1,42,6,tp_proposed,1.0
1,42,6,tp_bayesian,5.0
1,42,6,tp_static,0.0
1,42,6,tn_proposed,43.0
1,42,6,tn_bayesian,24.0
1,42,6,tn_static,43.0
1,42,6,fp_proposed,0.0
1,42,6,fp_bayesian,19.0
1,42,6,fp_static,0.0
1,42,6,fn_proposed,6.0
1,42,6,fn_bayesian,2.0
1,42,6,fn_static,7.0
1,42,6,pdr_proposed,93.88
1,42,6,pdr_bayesian,76.0
1,42,6,pdr_static,95.83
1,42,6,energy_proposed,83.68
1,42,6,energy_bayesian,83.81
1,42,6,energy_static,84.5
1,42,6,trust_mean_proposed,0.9434
1,42,6,trust_std_proposed,0.0633
1,42,6,trust_min_proposed,0.6401
1,42,6,trust_max_proposed,0.9831
1,42,6,blockchain_commit_latency_ms,1499.7679
1,42,6,blockchain_failed_commits,0.0
1,42,6,blockchain_commit_success_rate,1.0
1,42,6,packet_count_proposed,1.2471
1,42,6,packet_count_bayesian,1.255154
1,42,6,packet_count_static,1.233168
1,42,6,compute_cost_proposed,1.12
1,42,6,compute_cost_bayesian,1.1
1,42,6,compute_cost_static,0.95
1,42,6,communication_distance_proposed,504.192094
1,42,6,communication_distance_bayesian,496.577879
1,42,6,communication_distance_static,507.015153
1,42,6,routing_load_proposed,0.545
1,42,6,routing_load_bayesian,0.43
1,42,6,routing_load_static,0.55
1,42,6,routing_distance_proposed,268.438669
1,42,6,routing_distance_bayesian,514.63362
1,42,6,routing_distance_static,0.0
1,42,6,routing_noise_proposed,0.081326
1,42,6,routing_noise_bayesian,0.001543
1,42,6,routing_noise_static,0.0
1,42,7,accuracy_proposed,88.0
1,42,7,accuracy_bayesian,66.0
1,42,7,accuracy_static,86.0
1,42,7,precision_proposed,100.0
1,42,7,precision_bayesian,18.75
1,42,7,precision_static,0.0
1,42,7,recall_proposed,14.29
1,42,7,recall_bayesian,42.86
1,42,7,recall_static,0.0
1,42,7,f1_proposed,25.0
1,42,7,f1_bayesian,26.09
1,42,7,f1_static,0.0
1,42,7,tp_proposed,1.0
1,42,7,tp_bayesian,3.0
1,42,7,tp_static,0.0
1,42,7,tn_proposed,43.0
1,42,7,tn_bayesian,30.0
1,42,7,tn_static,43.0
1,42,7,fp_proposed,0.0
1,42,7,fp_bayesian,13.0
1,42,7,fp_static,0.0
1,42,7,fn_proposed,6.0
1,42,7,fn_bayesian,4.0
1,42,7,fn_static,7.0
1,42,7,pdr_proposed,87.76
1,42,7,pdr_bayesian,78.72
1,42,7,pdr_static,92.0
1,42,7,energy_proposed,80.95
1,42,7,energy_bayesian,81.05
1,42,7,energy_static,81.93
1,42,7,trust_mean_proposed,0.9382
1,42,7,trust_std_proposed,0.0724
1,42,7,trust_min_proposed,0.5246
1,42,7,trust_max_proposed,0.9824
1,42,7,blockchain_commit_latency_ms,1507.3895
1,42,7,blockchain_failed_commits,0.0
1,42,7,blockchain_commit_success_rate,1.0
1,42,7,packet_count_proposed,1.272033
1,42,7,packet_count_bayesian,1.279906
1,42,7,packet_count_static,1.247071
1,42,7,compute_cost_proposed,1.12
1,42,7,compute_cost_bayesian,1.1
1,42,7,compute_cost_static,0.95
1,42,7,communication_distance_proposed,462.56436
1,42,7,communication_distance_bayesian,525.93014
1,42,7,communication_distance_static,510.997458
1,42,7,routing_load_proposed,0.545
1,42,7,routing_load_bayesian,0.47
1,42,7,routing_load_static,0.55
1,42,7,routing_distance_proposed,864.017665
1,42,7,routing_distance_bayesian,648.58741
1,42,7,routing_distance_static,0.0
1,42,7,routing_noise_proposed,-0.055203
1,42,7,routing_noise_bayesian,0.003956
1,42,7,routing_noise_static,0.0
1,42,8,accuracy_proposed,88.0
1,42,8,accuracy_bayesian,60.0
1,42,8,accuracy_static,86.0
1,42,8,precision_proposed,100.0
1,42,8,precision_bayesian,15.79
1,42,8,precision_static,0.0
1,42,8,recall_proposed,14.29
1,42,8,recall_bayesian,42.86
1,42,8,recall_static,0.0
1,42,8,f1_proposed,25.0
1,42,8,f1_bayesian,23.08
1,42,8,f1_static,0.0
1,42,8,tp_proposed,1.0
1,42,8,tp_bayesian,3.0
1,42,8,tp_static,0.0
1,42,8,tn_proposed,43.0
1,42,8,tn_bayesian,27.0
1,42,8,tn_static,43.0
1,42,8,fp_proposed,0.0
1,42,8,fp_bayesian,16.0
1,42,8,fp_static,0.0
1,42,8,fn_proposed,6.0
1,42,8,fn_bayesian,4.0
1,42,8,fn_static,7.0
1,42,8,pdr_proposed,88.0
1,42,8,pdr_bayesian,79.17
1,42,8,pdr_static,91.67
1,42,8,energy_proposed,78.19
1,42,8,energy_bayesian,78.34
1,42,8,energy_static,79.37
1,42,8,trust_mean_proposed,0.9328
1,42,8,trust_std_proposed,0.0853
1,42,8,trust_min_proposed,0.427
1,42,8,trust_max_proposed,0.9814
1,42,8,blockchain_commit_latency_ms,1500.3013
1,42,8,blockchain_failed_commits,0.0
1,42,8,blockchain_commit_success_rate,1.0
1,42,8,packet_count_proposed,1.284968
1,42,8,packet_count_bayesian,1.251283
1,42,8,packet_count_static,1.252527
1,42,8,compute_cost_proposed,1.12
1,42,8,compute_cost_bayesian,1.1
1,42,8,compute_cost_static,0.95
1,42,8,communication_distance_proposed,495.955151
1,42,8,communication_distance_bayesian,511.97957
1,42,8,communication_distance_static,516.939895
1,42,8,routing_load_proposed,0.545
1,42,8,routing_load_bayesian,0.455
1,42,8,routing_load_static,0.55
1,42,8,routing_distance_proposed,732.823143
1,42,8,routing_distance_bayesian,489.131327
1,42,8,routing_distance_static,0.0
1,42,8,routing_noise_proposed,-0.101416
1,42,8,routing_noise_bayesian,0.022986
1,42,8,routing_noise_static,0.0
1,42,9,accuracy_proposed,90.0
1,42,9,accuracy_bayesian,62.0
1,42,9,accuracy_static,86.0
1,42,9,precision_proposed,100.0
1,42,9,precision_bayesian,22.73
1,42,9,precision_static,0.0
1,42,9,recall_proposed,28.57
1,42,9,recall_bayesian,71.43
1,42,9,recall_static,0.0
1,42,9,f1_proposed,44.44
1,42,9,f1_bayesian,34.48
1,42,9,f1_static,0.0
1,42,9,tp_proposed,2.0
1,42,9,tp_bayesian,5.0
1,42,9,tp_static,0.0
1,42,9,tn_proposed,43.0
1,42,9,tn_bayesian,26.0
1,42,9,tn_static,43.0
1,42,9,fp_proposed,0.0
1,42,9,fp_bayesian,17.0
1,42,9,fp_static,0.0
1,42,9,fn_proposed,5.0
1,42,9,fn_bayesian,2.0
1,42,9,fn_static,7.0
1,42,9,pdr_proposed,92.0
1,42,9,pdr_bayesian,76.0
1,42,9,pdr_static,94.0
1,42,9,energy_proposed,75.5
1,42,9,energy_bayesian,75.68
1,42,9,energy_static,76.83
1,42,9,trust_mean_proposed,0.9231
1,42,9,trust_std_proposed,0.1019
