seed,model,accuracy,precision,recall,f1,roc_auc,pr_auc,ece,brier,fp,tp,tn,fn
42,transformer,1.0,0.9999999991666666,0.9999999991666666,0.9999999941666666,1.0,1.0,0.1921690923052949,0.053472377359867096,0,12,65,0
42,logistic_regression,1.0,0.9999999991666666,0.9999999991666666,0.9999999941666666,1.0,1.0,0.07963576961963863,0.04605265281188476,0,12,65,0
42,random_forest,0.987012987012987,0.999999999090909,0.9166666659027777,0.9565217333081286,1.0,1.0,0.0518531551052611,0.04772054342197666,0,11,65,1
42,lstm_baseline,1.0,1.0,1.0,1.0,1.0,1.0,0.3803035048443274,0.1469738133639883,0,12,65,0
43,transformer,1.0,0.9999999991666666,0.9999999991666666,0.9999999941666666,1.0,1.0,0.0005686046161035729,1.3821191942042788e-06,0,12,65,0
43,logistic_regression,1.0,0.9999999991666666,0.9999999991666666,0.9999999941666666,1.0,1.0,0.05870534422441566,0.02572921862102002,0,12,65,0
43,random_forest,1.0,0.9999999991666666,0.9999999991666666,0.9999999941666666,1.0,1.0,0.05577535765767975,0.023999467594353334,0,12,65,0
43,lstm_baseline,1.0,1.0,1.0,1.0,1.0,1.0,0.4246483027443931,0.18301889703873372,0,12,65,0
44,transformer,1.0,0.9999999991666666,0.9999999991666666,0.9999999941666666,1.0,1.0,0.0006523213860300648,1.7553172710904619e-06,0,12,65,0
44,logistic_regression,1.0,0.9999999991666666,0.9999999991666666,0.9999999941666666,1.0,1.0,0.05804258232196412,0.02034343355819714,0,12,65,0
44,random_forest,1.0,0.9999999991666666,0.9999999991666666,0.9999999941666666,1.0,1.0,0.046836850448925396,0.010443669871100862,0,12,65,0
44,lstm_baseline,1.0,1.0,1.0,1.0,1.0,1.0,0.4640107400594051,0.21589141612224458,0,12,65,0
