metric,before,after_mean
accuracy,1.0,1.0
precision,0.9999999991666666,0.9999999991666666
recall,0.9999999991666666,0.9999999991666666
f1,0.9999999941666666,0.9999999941666666
ece,0.2122387911205168,0.06446333943580951
brier,0.0502220019698143,0.017825171598777462
fp,0.0,0.0
