metric,before,after_mean
accuracy,1.0,0.9090909090909092
precision,0.9999999991666666,0.821428569939059
recall,0.9999999991666666,0.6111111106018519
f1,0.9999999941666666,0.639743584770102
ece,0.2122387911205168,0.1847071031197196
brier,0.0502220019698143,0.11887535080313683
fp,0.0,2.3333333333333335
