model,split,accuracy,precision,recall,f1,tp,tn,fp,fn,C,RP,P,A,TI,trust_mean
logistic_regression,train,1.0,1.0,1.0,1.0,52,297,0,0,1.0,1.0,1.0,1.0,0.8439520117278663,0.8439520117278663
logistic_regression,val,0.972972972972973,0.8461538461538461,1.0,0.9166666666666666,11,61,2,0,0.972972972972973,1.0,0.8461538461538461,0.9166666666666666,0.8195819150933482,0.8195819150933482
logistic_regression,test,0.987012987012987,0.9230769230769231,1.0,0.9600000000000001,12,64,1,0,0.987012987012987,1.0,0.9230769230769231,0.9600000000000001,0.831308376786857,0.831308376786857
random_forest,train,1.0,1.0,1.0,1.0,52,297,0,0,1.0,1.0,1.0,1.0,0.8551671442215856,0.8551671442215856
random_forest,val,1.0,1.0,1.0,1.0,11,63,0,0,1.0,1.0,1.0,1.0,0.8570720720720721,0.8570720720720721
random_forest,test,0.935064935064935,1.0,0.5833333333333334,0.7368421052631579,7,65,0,5,0.935064935064935,0.5833333333333334,1.0,0.7368421052631579,0.8853246753246753,0.8853246753246753
