tau_min,accuracy_proposed_mean,accuracy_proposed_std,accuracy_bayesian_mean,accuracy_bayesian_std,accuracy_static_mean,accuracy_static_std,precision_proposed_mean,precision_proposed_std,precision_bayesian_mean,precision_bayesian_std,precision_static_mean,precision_static_std,recall_proposed_mean,recall_proposed_std,recall_bayesian_mean,recall_bayesian_std,recall_static_mean,recall_static_std,f1_proposed_mean,f1_proposed_std,f1_bayesian_mean,f1_bayesian_std,f1_static_mean,f1_static_std,tp_proposed_mean,tp_proposed_std,tp_bayesian_mean,tp_bayesian_std,tp_static_mean,tp_static_std,tn_proposed_mean,tn_proposed_std,tn_bayesian_mean,tn_bayesian_std,tn_static_mean,tn_static_std,fp_proposed_mean,fp_proposed_std,fp_bayesian_mean,fp_bayesian_std,fp_static_mean,fp_static_std,fn_proposed_mean,fn_proposed_std,fn_bayesian_mean,fn_bayesian_std,fn_static_mean,fn_static_std,pdr_proposed_mean,pdr_proposed_std,pdr_bayesian_mean,pdr_bayesian_std,pdr_static_mean,pdr_static_std,energy_proposed_mean,energy_proposed_std,energy_bayesian_mean,energy_bayesian_std,energy_static_mean,energy_static_std,trust_mean_proposed_mean,trust_mean_proposed_std,trust_std_proposed_mean,trust_std_proposed_std,trust_min_proposed_mean,trust_min_proposed_std,trust_max_proposed_mean,trust_max_proposed_std
0.55,94.76,1.3836184445142394,84.84,2.061649824776262,86.0,0.0,87.69685,2.679191445660425,59.9183,6.453910702821969,0.0,0.0,66.49885,8.66864167286317,36.14385,8.2938873697742,0.0,0.0,73.11519999999999,6.350658817004739,40.0925,9.187686545044947,0.0,0.0,4.655,0.6068154579441759,2.5300000000000002,0.5806031346797914,0.0,0.0,42.725,0.20402205763103112,39.89,0.6102458520956944,43.0,0.0,0.275,0.20402205763103165,3.11,0.6102458520956943,0.0,0.0,2.345,0.606815457944176,4.47,0.5806031346797914,7.0,0.0,92.55535,0.7489579444134388,92.33785,0.7403686260910832,91.8758,0.3360993305557123,73.8858,0.03922511950268422,73.94825,0.04639140545403246,75.3369,0.04627299428392358,0.7535795,0.0063273135887199575,0.143787,0.00938623119255007,0.2742365,0.011479772221172326,0.8679200000000001,0.004065113774545502
0.6,94.24,1.688904970683668,83.06,2.17402851867219,86.0,0.0,82.381,5.114577685400819,52.00334999999999,6.497655004114947,0.0,0.0,71.21315,7.626873360198135,46.42875,6.813358768808524,0.0,0.0,73.68015,6.16307684135935,44.08255,6.947311388047894,0.0,0.0,4.984999999999999,0.5338773267333987,3.25,0.47696960070847294,0.0,0.0,42.135,0.505989130318033,38.28000000000001,0.9121951545584966,43.0,0.0,0.865,0.5059891303180337,4.72,0.912195154558497,0.0,0.0,2.015,0.5338773267333986,3.75,0.47696960070847294,7.0,0.0,92.6268,0.7953707688870636,92.3977,0.6877084120468494,91.8758,0.3360993305557123,73.8858,0.03922511950268422,73.94825,0.04639140545403246,75.3369,0.04627299428392358,0.7535795,0.0063273135887199575,0.143787,0.00938623119255007,0.2742365,0.011479772221172326,0.8679200000000001,0.004065113774545502
0.65,91.49,2.284928882919555,77.43999999999998,2.9486267990371378,86.0,0.0,70.86474999999999,6.556935580932607,43.3689,5.8267070022440635,0.0,0.0,77.78465,6.832194296307738,61.28530000000001,7.061684849241016,0.0,0.0,70.1805,6.459107074511151,46.41765,5.69043182917606,0.0,0.0,5.444999999999999,0.47825202560992885,4.29,0.4943682837723311,0.0,0.0,40.3,0.8351646544245034,34.42999999999999,1.5707004806773315,43.0,0.0,2.7,0.8351646544245033,8.569999999999999,1.5707004806773315,0.0,0.0,1.555,0.47825202560992885,2.71,0.49436828377233094,7.0,0.0,92.61625000000001,0.7143037256657727,92.39045,0.6785811834261297,91.8758,0.3360993305557123,73.8858,0.03922511950268422,73.94825,0.04639140545403246,75.3369,0.04627299428392358,0.7535795,0.0063273135887199575,0.143787,0.00938623119255007,0.2742365,0.011479772221172326,0.8679200000000001,0.004065113774545502
0.7,85.03,2.667227024458174,70.19,4.817354045531633,86.0,0.0,55.90655,4.426053583329059,34.21465,4.811895541519995,0.0,0.0,83.9991,4.463027967647076,73.71295,6.4820162775559265,0.0,0.0,62.23505,5.090613251122106,44.05655,4.04245990981976,0.0,0.0,5.880000000000001,0.31240998703626605,5.159999999999999,0.45376205218153703,0.0,0.0,36.635000000000005,1.0809833486229097,29.934999999999995,2.668805912763234,43.0,0.0,6.365,1.0809833486229101,13.064999999999998,2.668805912763234,0.0,0.0,1.12,0.3124099870362662,1.8399999999999999,0.4537620521815371,7.0,0.0,92.56554999999999,0.7833880089074655,92.24635,0.7461032787087901,91.8758,0.3360993305557123,73.8858,0.03922511950268422,73.94825,0.04639140545403246,75.3369,0.04627299428392358,0.7535795,0.0063273135887199575,0.143787,0.00938623119255007,0.2742365,0.011479772221172326,0.8679200000000001,0.004065113774545502
0.75,74.42999999999999,3.153743806969741,60.31,4.783189312582141,86.0,0.0,43.163599999999995,4.157837507647455,27.335699999999996,3.015024910344855,0.0,0.0,88.42799999999998,3.9620045368474743,84.9267,4.303006601203396,0.0,0.0,52.19115000000001,4.246901959369914,39.917649999999995,2.612988490694134,0.0,0.0,6.1899999999999995,0.277308492477241,5.945,0.3012059096365806,0.0,0.0,31.025,1.4101861579238395,24.209999999999997,2.6310454196003534,43.0,0.0,11.975,1.4101861579238397,18.790000000000003,2.6310454196003534,0.0,0.0,0.8100000000000002,0.27730849247724093,1.0550000000000002,0.30120590963658067,7.0,0.0,92.55319999999999,0.7442336393902111,92.1522,0.7249252444218001,91.8758,0.3360993305557123,73.8858,0.03922511950268422,73.94825,0.04639140545403246,75.3369,0.04627299428392358,0.7535795,0.0063273135887199575,0.143787,0.00938623119255007,0.2742365,0.011479772221172326,0.8679200000000001,0.004065113774545502
