configuration,metric_name,value
routing_disabled,routing_load_bayesian,0.49545
routing_disabled,routing_load_proposed,0.54065
routing_disabled,routing_load_static,0.55
routing_disabled,routing_noise_bayesian,-0.005915
routing_disabled,routing_noise_proposed,9.6e-05
routing_disabled,routing_noise_static,0.0
routing_disabled,tn_bayesian,34.935
routing_disabled,tn_proposed,41.29
routing_disabled,tn_static,43.0
routing_disabled,tp_bayesian,4.045
routing_disabled,tp_proposed,0.365
routing_disabled,tp_static,0.0
routing_disabled,trust_max_proposed,0.80665
routing_disabled,trust_mean_proposed,0.799447
routing_disabled,trust_min_proposed,0.774724
routing_disabled,trust_std_proposed,0.005932
blockchain_disabled,accuracy_bayesian,77.31
blockchain_disabled,accuracy_proposed,82.14
blockchain_disabled,accuracy_static,86.0
blockchain_disabled,blockchain_commit_latency_ms,0.0
blockchain_disabled,blockchain_commit_success_rate,0.0
blockchain_disabled,blockchain_failed_commits,0.0
blockchain_disabled,communication_distance_bayesian,530.050191
blockchain_disabled,communication_distance_proposed,527.732268
blockchain_disabled,communication_distance_static,526.732774
blockchain_disabled,compute_cost_bayesian,1.1
blockchain_disabled,compute_cost_proposed,1.12
blockchain_disabled,compute_cost_static,0.95
blockchain_disabled,energy_bayesian,71.7
blockchain_disabled,energy_proposed,71.36515
blockchain_disabled,energy_static,73.09865
blockchain_disabled,f1_bayesian,46.12215
blockchain_disabled,f1_proposed,8.32005
blockchain_disabled,f1_static,0.0
blockchain_disabled,fn_bayesian,2.625
blockchain_disabled,fn_proposed,6.475
blockchain_disabled,fn_static,7.0
blockchain_disabled,fp_bayesian,8.72
blockchain_disabled,fp_proposed,2.455
blockchain_disabled,fp_static,0.0
blockchain_disabled,packet_count_bayesian,1.248041
blockchain_disabled,packet_count_proposed,1.261216
blockchain_disabled,packet_count_static,1.235574
blockchain_disabled,pdr_bayesian,84.72635
blockchain_disabled,pdr_proposed,90.3942
blockchain_disabled,pdr_static,91.8758
blockchain_disabled,precision_bayesian,42.51255
blockchain_disabled,precision_proposed,12.82455
blockchain_disabled,precision_static,0.0
blockchain_disabled,recall_bayesian,62.4996
blockchain_disabled,recall_proposed,7.50095
blockchain_disabled,recall_static,0.0
blockchain_disabled,routing_distance_bayesian,522.017138
blockchain_disabled,routing_distance_proposed,352.223358
blockchain_disabled,routing_distance_static,0.0
blockchain_disabled,routing_load_bayesian,0.4937
blockchain_disabled,routing_load_proposed,0.54055
blockchain_disabled,routing_load_static,0.55
blockchain_disabled,routing_noise_bayesian,0.005151
blockchain_disabled,routing_noise_proposed,0.004156
blockchain_disabled,routing_noise_static,0.0
blockchain_disabled,tn_bayesian,34.28
blockchain_disabled,tn_proposed,40.545
blockchain_disabled,tn_static,43.0
blockchain_disabled,tp_bayesian,4.375
blockchain_disabled,tp_proposed,0.525
blockchain_disabled,tp_static,0.0
blockchain_disabled,trust_max_proposed,0.80618
blockchain_disabled,trust_mean_proposed,0.799325
blockchain_disabled,trust_min_proposed,0.775773
blockchain_disabled,trust_std_proposed,0.005837
