seed,run_id,interval,metric_name,value
42,1,3,compute_cost_bayesian,1.1
42,1,3,compute_cost_static,0.95
42,1,3,communication_distance_proposed,495.950843
42,1,3,communication_distance_bayesian,492.142348
42,1,3,communication_distance_static,491.415012
42,1,3,routing_load_proposed,0.55
42,1,3,routing_load_bayesian,0.425
42,1,3,routing_load_static,0.55
42,1,3,routing_distance_proposed,0.0
42,1,3,routing_distance_bayesian,510.309615
42,1,3,routing_distance_static,0.0
42,1,3,routing_noise_proposed,0.0
42,1,3,routing_noise_bayesian,-0.023824
42,1,3,routing_noise_static,0.0
42,1,4,accuracy_proposed,86.0
42,1,4,accuracy_bayesian,70.0
42,1,4,accuracy_static,86.0
42,1,4,precision_proposed,0.0
42,1,4,precision_bayesian,21.43
42,1,4,precision_static,0.0
42,1,4,recall_proposed,0.0
42,1,4,recall_bayesian,42.86
42,1,4,recall_static,0.0
42,1,4,f1_proposed,0.0
42,1,4,f1_bayesian,28.57
42,1,4,f1_static,0.0
42,1,4,tp_proposed,0.0
42,1,4,tp_bayesian,3.0
42,1,4,tp_static,0.0
42,1,4,tn_proposed,43.0
42,1,4,tn_bayesian,32.0
42,1,4,tn_static,43.0
42,1,4,fp_proposed,0.0
42,1,4,fp_bayesian,11.0
42,1,4,fp_static,0.0
42,1,4,fn_proposed,7.0
42,1,4,fn_bayesian,4.0
42,1,4,fn_static,7.0
42,1,4,pdr_proposed,87.76
42,1,4,pdr_bayesian,85.71
42,1,4,pdr_static,96.0
42,1,4,energy_proposed,89.13
42,1,4,energy_bayesian,89.21
42,1,4,energy_static,89.76
42,1,4,trust_mean_proposed,0.9018
42,1,4,trust_std_proposed,0.0268
42,1,4,trust_min_proposed,0.7808
42,1,4,trust_max_proposed,0.9261
42,1,4,blockchain_commit_latency_ms,1498.2285
42,1,4,blockchain_failed_commits,0.0
42,1,4,blockchain_commit_success_rate,1.0
42,1,4,packet_count_proposed,1.262868
42,1,4,packet_count_bayesian,1.280761
42,1,4,packet_count_static,1.234453
42,1,4,compute_cost_proposed,1.12
42,1,4,compute_cost_bayesian,1.1
