model,seed,accuracy,balanced_accuracy,precision,recall,f1,roc_auc,pr_auc,params,runtime_seconds
hybrid_temporal,42,0.9466666666666667,0.8333333333333333,1.0,0.6666666666666666,0.8,0.9722222222222223,0.905388471177945,240689,2.6119565963745117
hybrid_temporal,43,0.9466666666666667,0.8670634920634921,0.9,0.75,0.8181818181818182,0.9761904761904762,0.9140313390313392,240689,2.854048728942871
hybrid_temporal,44,0.92,0.8174603174603174,0.8,0.6666666666666666,0.7272727272727272,0.9616402116402116,0.8658967122202418,240689,3.3645784854888916
hybrid_temporal,45,0.9333333333333333,0.8928571428571428,0.7692307692307693,0.8333333333333334,0.8,0.9656084656084656,0.886080103471408,240689,2.8712854385375977
hybrid_temporal,46,0.9333333333333333,0.7916666666666667,1.0,0.5833333333333334,0.7368421052631579,0.9497354497354498,0.8481379731379732,240689,4.441524982452393
hybrid_temporal,47,0.92,0.8511904761904762,0.75,0.75,0.75,0.9682539682539684,0.8809776967671706,240689,3.0592150688171387
hybrid_temporal,48,0.9066666666666666,0.7757936507936508,0.7777777777777778,0.5833333333333334,0.6666666666666666,0.951058201058201,0.825022893772894,240689,4.095520257949829
hybrid_temporal,49,0.9333333333333333,0.8253968253968254,0.8888888888888888,0.6666666666666666,0.761904761904762,0.9708994708994709,0.8976210826210828,240689,3.8521430492401123
hybrid_temporal,50,0.9333333333333333,0.8253968253968254,0.8888888888888888,0.6666666666666666,0.761904761904762,0.9563492063492064,0.8633074795574797,240689,2.7497029304504395
hybrid_temporal,51,0.9333333333333333,0.8253968253968254,0.8888888888888888,0.6666666666666666,0.761904761904762,0.9748677248677249,0.8824570105820108,240689,3.4676170349121094
hybrid_temporal,52,0.9066666666666666,0.8432539682539683,0.6923076923076923,0.75,0.7199999999999999,0.9788359788359788,0.8932208994708996,240689,2.5575389862060547
hybrid_temporal,53,0.92,0.7837301587301587,0.875,0.5833333333333334,0.7000000000000001,0.9682539682539683,0.8797934643329381,240689,3.386817693710327
hybrid_temporal,54,0.9333333333333333,0.8253968253968254,0.8888888888888888,0.6666666666666666,0.761904761904762,0.9748677248677249,0.9070391414141415,240689,2.7934389114379883
hybrid_temporal,55,0.9466666666666667,0.8333333333333333,1.0,0.6666666666666666,0.8,0.9576719576719577,0.868453557312253,240689,2.3396615982055664
hybrid_temporal,56,0.9066666666666666,0.8432539682539683,0.6923076923076923,0.75,0.7199999999999999,0.9470899470899472,0.8402687482302088,240689,3.108933925628662
hybrid_temporal,57,0.9333333333333333,0.7916666666666667,1.0,0.5833333333333334,0.7368421052631579,0.9801587301587301,0.9259975920192639,240689,3.0590336322784424
hybrid_temporal,58,0.9333333333333333,0.8253968253968254,0.8888888888888888,0.6666666666666666,0.761904761904762,0.9735449735449735,0.8737764550264551,240689,3.7046420574188232
hybrid_temporal,59,0.96,0.9087301587301587,0.9090909090909091,0.8333333333333334,0.8695652173913043,0.9761904761904762,0.9090909090909093,240689,3.824711799621582
hybrid_temporal,60,0.9066666666666666,0.7757936507936508,0.7777777777777778,0.5833333333333334,0.6666666666666666,0.9761904761904763,0.8919584500466855,240689,3.5055062770843506
hybrid_temporal,61,0.92,0.8174603174603174,0.8,0.6666666666666666,0.7272727272727272,0.9682539682539683,0.8700351731601733,240689,3.549264907836914
