model,split,accuracy,precision,recall,f1,roc_auc,pr_auc,ece,brier,tp,tn,fp,fn,threshold_used,C,RP,P,A,TI,trust_mean
lstm_baseline,train,1.0,1.0,1.0,1.0,1.0,1.0,0.3715142403049734,0.14119639215616792,51,269,0,0,0.5000000000000001,1.0,1.0,1.0,1.0,0.5507071472452048,0.5507071472452048
lstm_baseline,val,1.0,1.0,1.0,1.0,1.0,1.0,0.3714501904652797,0.1411602331133011,11,63,0,0,0.5000000000000001,1.0,1.0,1.0,1.0,0.5535007525664841,0.5535007525664841
lstm_baseline,test,1.0,1.0,1.0,1.0,1.0,1.0,0.3803035048443274,0.1469738133639883,12,65,0,0,0.5000000000000001,1.0,1.0,1.0,1.0,0.5617100402186803,0.5617100402186803
