metric,mean,std
f1,0.8323169765057745,0.004509528009591995
roc_auc,0.9136363756847231,0.02488772981337666
pr_auc,0.9010302830633815,0.037107393248982705
balanced_accuracy,0.7273282311822094,0.008934992396093838
recall_class_0,0.4563783201722901,0.018069408665688576
recall_class_1,0.9982781421921286,0.0003527645991380322
