metric,before,after_mean
accuracy,1.0,0.8268398268398268
precision,0.9999999991666666,0.5914407225981958
recall,0.9999999991666666,0.8333333326388889
f1,0.9999999941666666,0.6544498071369562
ece,0.2122387911205168,0.3838078710552934
brier,0.0502220019698143,0.22977285087108612
fp,0.0,11.333333333333334
