Metric,Mean,Std,Min,Max
Detection Accuracy — Proposed (%),96.68,0.4,86.0,100.0
Detection Accuracy — Bayesian (%),100.0,0.0,100.0,100.0
Detection Accuracy — Static (%),86.0,0.0,86.0,86.0
Packet Delivery Ratio — Proposed (%),92.95,3.09,88.63,95.15
Packet Delivery Ratio — Bayesian (%),90.9,3.49,86.81,94.3
Packet Delivery Ratio — Static (%),91.61,2.95,88.91,94.3
Residual Energy — Proposed (%),73.84,0.04,50.17,97.51
Residual Energy — Bayesian (%),73.97,0.06,50.41,97.52
Residual Energy — Static (%),75.31,0.04,52.98,97.65
