model,split,accuracy,precision,recall,f1,roc_auc,pr_auc,ece,brier,tp,tn,fp,fn,threshold_used,C,RP,P,A,TI,trust_mean
lstm_baseline,train,0.59375,0.26595744680851063,0.9090909090909091,0.411522633744856,0.8788490970309152,0.797762202638905,0.2311743096747047,0.10522563952413809,50,159,138,5,0.30000000000000004,0.59375,0.9090909090909091,0.26595744680851063,0.411522633744856,0.6257018781407115,0.6257018781407115
lstm_baseline,val,0.5405405405405406,0.21951219512195122,0.8181818181818182,0.34615384615384615,0.7445887445887446,0.5697441751177732,0.23080038514321435,0.143347965583077,9,31,32,2,0.30000000000000004,0.5405405405405406,0.8181818181818182,0.21951219512195122,0.34615384615384615,0.6351065463098837,0.6351065463098837
lstm_baseline,test,0.5584415584415584,0.25,0.9166666666666666,0.3928571428571429,0.9243589743589743,0.8720032840722497,0.2589143502932017,0.11592834254467481,11,32,33,1,0.30000000000000004,0.5584415584415584,0.9166666666666666,0.25,0.3928571428571429,0.5896925134651949,0.5896925134651949
