scenario,noise_level,accuracy,balanced_accuracy,precision,recall,f1,roc_auc,pr_auc,threshold,n_samples,mean_probability
gaussian_noise_0.00,0.0,0.9066666666666666,0.7083333333333334,1.0,0.4166666666666667,0.5882352941176471,0.9510582010582012,0.862655971479501,0.5,75.0,0.16102293133735657
gaussian_noise_0.10,0.1,0.9066666666666666,0.7420634920634921,0.8571428571428571,0.5,0.631578947368421,0.8796296296296295,0.7027789134640315,0.5,75.0,0.19008450210094452
gaussian_noise_0.20,0.2,0.8666666666666667,0.6845238095238095,0.625,0.4166666666666667,0.5,0.7976190476190476,0.596394597624106,0.5,75.0,0.23021726310253143
gaussian_noise_0.30,0.3,0.84,0.6686507936507936,0.5,0.4166666666666667,0.45454545454545453,0.7367724867724867,0.47867195966666526,0.5,75.0,0.2589597702026367
gaussian_noise_0.40,0.4,0.76,0.621031746031746,0.3125,0.4166666666666667,0.35714285714285715,0.6693121693121693,0.3916248464529583,0.5,75.0,0.2840680480003357
gaussian_noise_0.50,0.5,0.76,0.621031746031746,0.3125,0.4166666666666667,0.35714285714285715,0.6468253968253969,0.35598366300824386,0.5,75.0,0.30237746238708496
missing_segments,,0.9066666666666666,0.7083333333333334,1.0,0.4166666666666667,0.5882352941176471,0.9470899470899471,0.8543436819172114,0.5,75.0,0.15300078690052032
sensor_failure,,0.8666666666666667,0.5833333333333334,1.0,0.16666666666666666,0.2857142857142857,0.8637566137566138,0.5638133208255159,0.5,75.0,0.1328531950712204
