model,split,accuracy,precision,recall,f1,roc_auc,pr_auc,ece,brier,tp,tn,fp,fn,threshold_used,C,RP,P,A,TI,trust_mean
lstm_baseline,train,0.4375,0.22088353413654618,0.9322033898305084,0.35714285714285715,0.8488459536067565,0.7644033346598046,0.28810788514600344,0.15654417757807118,55,99,194,4,0.3500000000000001,0.4375,0.9322033898305084,0.22088353413654618,0.35714285714285715,0.5540156357061778,0.5540156357061778
lstm_baseline,val,0.44594594594594594,0.1875,0.8181818181818182,0.30508474576271183,0.7604617604617604,0.5659573281582851,0.29866175064097356,0.1810343567327627,9,24,39,2,0.3500000000000001,0.44594594594594594,0.8181818181818182,0.1875,0.30508474576271183,0.5684905398885798,0.5684905398885798
lstm_baseline,test,0.4155844155844156,0.21052631578947367,1.0,0.34782608695652173,0.9243589743589743,0.8672839506172841,0.32975028984185967,0.16345207955431373,12,20,45,0,0.3500000000000001,0.4155844155844156,1.0,0.21052631578947367,0.34782608695652173,0.5294383976842347,0.5294383976842347
