model,split,accuracy,precision,recall,f1,roc_auc,pr_auc,ece,brier,tp,tn,fp,fn,threshold_used,C,RP,P,A,TI,trust_mean
lstm_baseline,train,0.7528409090909091,0.35398230088495575,0.7407407407407407,0.47904191616766467,0.8323390504598559,0.6322238331415033,0.2637868637024906,0.1585145895903562,40,225,73,14,0.40000000000000013,0.7528409090909091,0.7407407407407407,0.35398230088495575,0.47904191616766467,0.5831987710404073,0.5831987710404073
lstm_baseline,val,0.6891891891891891,0.3,0.8181818181818182,0.43902439024390244,0.8441558441558442,0.7951539106479819,0.3158406294119931,0.16977658331260498,9,42,21,2,0.40000000000000013,0.6891891891891891,0.8181818181818182,0.3,0.43902439024390244,0.5591107846844928,0.5591107846844928
lstm_baseline,test,0.7402597402597403,0.35714285714285715,0.8333333333333334,0.5,0.9115384615384615,0.826779701779702,0.30149158053099906,0.14600132111224637,10,47,18,2,0.40000000000000013,0.7402597402597403,0.8333333333333334,0.35714285714285715,0.5,0.5722919214029106,0.5722919214029106
