model,split,accuracy,precision,recall,f1,roc_auc,pr_auc,ece,brier,tp,tn,fp,fn,threshold_used,C,RP,P,A,TI,trust_mean
lstm_baseline,train,0.8948863636363636,0.8421052631578947,0.32,0.463768115942029,0.8104635761589404,0.5445513510216656,0.3532178213122464,0.21489933055860766,16,299,3,34,0.6000000000000002,0.8948863636363636,0.32,0.8421052631578947,0.463768115942029,0.5262519794840254,0.5262519794840254
lstm_baseline,val,0.972972972972973,1.0,0.8181818181818182,0.9,0.8874458874458875,0.8581585081585082,0.4282907624755306,0.2128456136862933,9,63,0,2,0.6000000000000002,0.972972972972973,0.8181818181818182,1.0,0.9,0.5087559287996875,0.5087559287996875
lstm_baseline,test,0.961038961038961,1.0,0.75,0.8571428571428571,0.8769230769230769,0.8143896447467877,0.415800111951988,0.2132552342316914,9,65,0,3,0.6000000000000002,0.961038961038961,0.75,1.0,0.8571428571428571,0.5100799019087734,0.5100799019087734
