Model,Accuracy,Balanced Accuracy,F1,ROC-AUC,Params,Runtime,Mean ± Std (multi-seed)
hybrid_temporal,0.936,0.8505952380952381,0.7829214968860277,0.9605820105820105,61345,1.995124912261963,0.7829 +- 0.0450
random_forest,0.9226666666666666,0.7870039682539682,0.7080612598690402,0.9002976190476191,0,0.42355780601501464,0.7081 +- 0.0394
lstm,0.9126666666666666,0.7473214285714286,0.6448830409356725,0.8247354497354498,70785,9.845269811153411,0.6449 +- 0.0784
