run,seed,accuracy,precision,recall,f1,params,runtime_seconds
majority,42,0.84,0.0,0.0,0.0,0,0.022099971771240234
majority,43,0.84,0.0,0.0,0.0,0,0.02099323272705078
majority,44,0.84,0.0,0.0,0.0,0,0.022708654403686523
majority,45,0.84,0.0,0.0,0.0,0,0.025945186614990234
majority,46,0.84,0.0,0.0,0.0,0,0.02313065528869629
