metric,before,after_mean
accuracy,1.0,0.7619047619047619
precision,0.9999999991666666,0.6102564095527284
recall,0.9999999991666666,0.749999999375
f1,0.9999999941666666,0.5694444398506624
ece,0.2122387911205168,0.5030848773849474
brier,0.0502220019698143,0.32827043533325195
fp,0.0,15.333333333333334
