metric,before,after_mean
accuracy,1.0,0.9307359307359307
precision,0.9999999991666666,0.8397435888618272
recall,0.9999999991666666,0.7222222216203704
f1,0.9999999941666666,0.7622806961922651
ece,0.2122387911205168,0.07719477109643287
brier,0.0502220019698143,0.053403690457344055
fp,0.0,2.0
