model,accuracy_mean,accuracy_std,accuracy_ci95_low,accuracy_ci95_high,precision_mean,precision_std,precision_ci95_low,precision_ci95_high,recall_mean,recall_std,recall_ci95_low,recall_ci95_high,f1_mean,f1_std,f1_ci95_low,f1_ci95_high,roc_auc_mean,roc_auc_std,roc_auc_ci95_low,roc_auc_ci95_high,pr_auc_mean,pr_auc_std,pr_auc_ci95_low,pr_auc_ci95_high,ece_mean,ece_std,ece_ci95_low,ece_ci95_high,brier_mean,brier_std,brier_ci95_low,brier_ci95_high,fp_mean,fp_std,fp_ci95_low,fp_ci95_high,tp_mean,tp_std,tp_ci95_low,tp_ci95_high,tn_mean,tn_std,tn_ci95_low,tn_ci95_high,fn_mean,fn_std,fn_ci95_low,fn_ci95_high
logistic_regression,0.9004329004329005,0.029992221776084464,0.8831168831168831,0.9324675324675324,0.7395197386925944,0.13848723358271972,0.6203296698289457,0.880158729169438,0.5833333328472222,0.1443375671771251,0.4291666663090278,0.666666666111111,0.6427401783477024,0.11781838731478435,0.5319999947774317,0.7558095181919202,0.8602564102564103,0.06884985426716697,0.8011538461538461,0.9302564102564103,0.7517866585019365,0.08379173596533153,0.6935978429232177,0.8410220996344052,0.07683810217791547,0.01965842595633593,0.06007648575729005,0.09688281285897296,0.08272024315610366,0.014447924299282116,0.07030468868776099,0.09740271306260612,2.6666666666666665,2.081665999466133,1.05,4.85,7.0,1.7320508075688772,5.15,8.0,62.333333333333336,2.0816659994661326,60.15,63.95,5.0,1.7320508075688772,4.0,6.85
lstm_baseline,0.7402597402597402,0.24261742457492733,0.4954545454545454,0.9519480519480519,0.5399999999999999,0.40841155713324273,0.229,0.97,0.8333333333333334,0.08333333333333331,0.7541666666666667,0.9125,0.5841740357869389,0.2539788880415224,0.36412380122057536,0.8413127413127413,0.902991452991453,0.02506839209583329,0.8783333333333333,0.9258333333333334,0.8379689495331476,0.03443163726461381,0.8147719559475795,0.8747090617736606,0.2939272453328417,0.1118826111735882,0.19958187167295566,0.40851569919723607,0.15033604422166427,0.058617689580508725,0.09942905108024308,0.20961670598851756,18.0,19.672315572906,0.75,37.8,10.0,1.0,9.05,10.95,47.0,19.672315572906,27.2,64.25,2.0,1.0,1.05,2.95
random_forest,0.9134199134199134,0.007498055444021116,0.9090909090909091,0.9214285714285714,0.7851851843423868,0.012830006019056168,0.7777777769135802,0.798888888085679,0.6111111106018519,0.048112522392375,0.5833333328472222,0.6624999994479166,0.6868686813068221,0.03499092535522834,0.6666666611337869,0.7242424186269372,0.9038461538461539,0.03196784010202995,0.8717948717948718,0.9320833333333334,0.7818325054208811,0.038378921495044654,0.7415399447832829,0.8114976403444267,0.06837938414772274,0.023428542587197062,0.047727470177600456,0.09189513104870908,0.06804838503625815,0.008172130957834783,0.06112136677994455,0.07640114803223451,2.0,0.0,2.0,2.0,7.333333333333333,0.5773502691896258,7.0,7.95,63.0,0.0,63.0,63.0,4.666666666666667,0.5773502691896258,4.05,5.0
transformer,0.9307359307359307,0.007498055444021117,0.9227272727272727,0.935064935064935,0.8397435888618272,0.13911880987623682,0.7509615378382026,0.9884615370748099,0.7222222216203704,0.12729376919825072,0.5916666661736111,0.8291666659756944,0.7622806961922651,0.033321789242804295,0.7374999945608554,0.79749999436835,0.902991452991453,0.03855401986759496,0.8619871794871795,0.9301923076923078,0.8373446996513838,0.03155278558151362,0.8089581938851483,0.8686429217505436,0.07719477109643287,0.01228307961142955,0.06437290257641246,0.08693589964131643,0.053403690457344055,0.004840448854533436,0.04829516597092152,0.05703810621052981,2.0,1.7320508075688772,0.15000000000000002,3.0,8.666666666666666,1.5275252316519468,7.1,9.95,63.0,1.7320508075688772,62.0,64.85,3.3333333333333335,1.5275252316519465,2.05,4.9
