metric,mean,std
f1,0.8898321437882233,0.0022731903165921215
roc_auc,0.9282491823461969,0.017374526025255944
pr_auc,0.9304106263030366,0.023946200209802284
balanced_accuracy,0.8372168895304768,0.003770840976111389
recall_class_0,0.6895549174443648,0.007862358109321196
recall_class_1,0.9848788616165891,0.0021502879545249355
