seed,f1,roc_auc,pr_auc,balanced_accuracy,recall_class_0,recall_class_1,threshold,warnings
42,0.8830783713815016,0.9069251630500293,0.898656305215958,0.8229339725473106,0.6553188426658989,0.9905491024287223,0.4,
43,0.8851252535736189,0.9433844180610809,0.9511837632924414,0.8264510871192643,0.6623002734993523,0.9906019007391763,0.4,
44,0.8806267739438436,0.9462198571960365,0.9539672369978569,0.8184836989491563,0.6458903123650497,0.9910770855332629,0.4,
45,0.8824167531364966,0.9013457185031517,0.8910655492522852,0.8227847662092029,0.657765942133295,0.9878035902851109,0.4,
46,0.8866149919652141,0.9388638600847053,0.9456489684286273,0.8290708964190935,0.6676982870303728,0.9904435058078142,0.4,
47,0.882977218055752,0.8918911120538687,0.8731167468141477,0.8235429847560554,0.6587015978120052,0.9883843717001056,0.4,
48,0.8848934461087747,0.9208691630202367,0.9227380392713709,0.8267146796631426,0.6646753994530012,0.9887539598732841,0.4,
49,0.8817350527549823,0.919544056150589,0.921843280499998,0.8197962997557764,0.6468259680437599,0.992766631467793,0.4,
50,0.8842229570146433,0.9388035205156435,0.9444884627035032,0.8257117777701101,0.6630919821505686,0.9883315733896515,0.4,
51,0.8825768254863265,0.9103263884846026,0.9033931540161334,0.8216434426048849,0.651576219951058,0.9917106652587118,0.4,
52,0.8858343961078834,0.9172351465896031,0.9170997867783968,0.8278233111798807,0.6654671081042176,0.9901795142555438,0.4,
53,0.8828790660452855,0.936913280960125,0.9427183584797205,0.8227036041022014,0.655174895638405,0.9902323125659979,0.4,
54,0.883166360942571,0.9350531399376392,0.9418003602021097,0.8227805709209677,0.6541672664459479,0.9913938753959873,0.4,
55,0.8867817181869904,0.9293715321420639,0.9326965093222848,0.830389923160864,0.6732402475888873,0.9875395987328406,0.4,
56,0.8862991679273827,0.9153905953950023,0.9129052498030011,0.828754106556369,0.6676982870303728,0.9898099260823654,0.4,
57,0.883232685412342,0.9408585296365954,0.9481941635891826,0.8239652382368906,0.6594933064632216,0.9884371700105596,0.4,
58,0.8905626306785781,0.9515038892297983,0.9581434142838515,0.8361529305684356,0.6828127249172304,0.989493136219641,0.4,
59,0.8828866948754114,0.9575991224247429,0.9654259132698313,0.8222575811214461,0.6530156902259968,0.9914994720168955,0.4,
60,0.8807166874368078,0.9381546416684236,0.9467518141165578,0.8194717539299287,0.6501367496761192,0.9888067581837381,0.4,
61,0.883856554967666,0.9355706253213917,0.9419379606809735,0.8236707852439553,0.6551029221246581,0.9922386483632524,0.4,
