metric,before,after_mean
accuracy,1.0,0.8701298701298702
precision,0.9999999991666666,0.33333333277777777
recall,0.9999999991666666,0.16666666652777776
f1,0.9999999941666666,0.2222222204938272
ece,0.2122387911205168,0.40593766966165407
brier,0.0502220019698143,0.2548731764157613
fp,0.0,0.0
