model,seed,accuracy,balanced_accuracy,precision,recall,f1,roc_auc,pr_auc,params,runtime_seconds
gru,42,0.9333333333333333,0.7916666666666667,1.0,0.5833333333333334,0.7368421052631579,0.9510582010582012,0.862655971479501,54145,7.515008449554443
gru,43,0.9066666666666666,0.8095238095238095,0.7272727272727273,0.6666666666666666,0.6956521739130435,0.9074074074074074,0.8265700216131252,54145,7.046518087387085
gru,44,0.96,0.875,1.0,0.75,0.8571428571428571,0.9656084656084656,0.9185049019607844,54145,6.387722492218018
gru,45,0.8933333333333333,0.7678571428571428,0.7,0.5833333333333334,0.6363636363636365,0.8214285714285714,0.7022783169017912,54145,5.300956964492798
gru,46,0.9466666666666667,0.9007936507936508,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.9312169312169313,0.8861111111111112,54145,4.896962642669678
